노래명	장르명	BPM	alias-1	alias-2	memo
BLUE DRAGON(雷龍Remix IIDX)	RAVERS DANCE SPEED	188	블루드래곤		R-RANDOM vs 랜덤 호불호 갈림 유튜브로 체크
BLUE MIRAGE	NU STYLE GABBER	170			
Blue Rain	TRANCE	144			
Blue Spring Express	DREAM CORE	172	청춘급행		후살 조심
BLUE STRAGGLER	HARD DANCE	160	블루쓰레기		
Blueberry Stream	HOUSE	138			
bluemoon	LATIN HORNS GROOVE	140			
BLUST OF WIND	CROSSOVER HOUSE	145			
BOOM BOOM DISCO NIGHT	EUROBEAT	180			
Boomy and The Boost	NEO JUNGLE	174	부미		후살 조심
Bounce Bounce Bounce	DANCEHALL	116			
Boundary	ROCOCO TEK	160			
Bow shock!!	JAZZ PIANO TRANCE	165	보우쇼크		
Brahma	TOKYO STYLE SPEEDCORE	400			
BRAINSTORM	TRANCECORE MEETS GABBA	180			
BRAVE GLOW	SPACY TRANCE	160			
BRAVE OUT	ELECTRANCE	150			
Brave Spirits	MELODIC RIDDIM	152			
Brazilian Fire	LATIN HOUSE	130			
Break Stasis	DRUMSTEP/HARDCORE	184			
Breakin' Chain	MOOMBAHCORE	206			
Breakin' Rules	CYBER PUNK	170			
Breaking Dawn feat. NO+CHIN, AYANO	J-CORE	186			
Breaking the ground	HARDCORE	166			
BREATH	ROCOCO TEK	160			
BREEDING	TECHNO	150			
BRIDAL FESTIVAL !!!	HAPPY ☆ JIG	138			
BRIGHTNESS DARKNESS	ROCOCO TEK	150			
BRILLIANT 2U	EURO GROOVE	150			
BRING HER DOWN	TRIBAL BASS	132			
Bring The Fire	SPEED RAVE	160			
Broadbanded	TRANCE	140			
BroGamer	SUPER ULTIMATE HYPER CORE	207	브로게이머		레겐더리아 CHORD 조심, 어나더 스크복합 조심
Broken	TRANCE	148	브로큰		
BROKEN EDEN	SYMPHONIC-TEK	162			
Broken My Heart	HYPER EUROBEAT	160			
Broken Sword	DUAL ANTIQUE	160	브로큰소드		
Buffalo	ROCK	108			
Burnin' The Floor	EURO GROOVE	155			
Burning Flame	HYPER TECHNO	165			
Burning Heat! (Full Option Mix)	12BEAT	166			
Butterfly Twist	SPEED HOUSE	160			
CADENZA	PSYCHEDELIC TRANCE	160	카덴자		체력 조심
Caldwell 99	STARRY BASS HOUSE	142			
